name,url,language,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,closed_issues_count,updated_issues_count,comment_frequency,dependents_count,criticality_score
elasticsearch,https://github.com/elastic/elasticsearch,Java,132,0,1710,3,127.2,21,7942,9215,1.0,0,0.6762
loom,https://github.com/openjdk/loom,Java,159,0,1445,2,105.8,46,7,8,4.9,26,0.67488
lila,https://github.com/ornicar/lila,Scala,108,0,208,4,90.6,0,381,550,1.2,2208,0.67474
ExoPlayer,https://github.com/google/ExoPlayer,Java,79,1,239,2,36.0,4,677,841,2.6,2872,0.67469
kylin,https://github.com/apache/kylin,Java,80,0,266,6,6.8,10,97,109,1.8,1493,0.67427
Resteasy,https://github.com/resteasy/Resteasy,Java,168,0,249,3,4.6,16,101,114,1.5,4563,0.67277
gatling,https://github.com/gatling/gatling,Scala,116,0,186,9,12.1,6,106,116,0.9,1199,0.67237
core-geonetwork,https://github.com/geonetwork/core-geonetwork,Java,173,0,115,7,8.9,9,183,361,0.8,2314,0.67168
spotbugs,https://github.com/spotbugs/spotbugs,Java,216,0,132,6,4.9,17,82,120,1.4,2515,0.67122
spring-kafka,https://github.com/spring-projects/spring-kafka,Java,58,0,99,9,6.6,45,127,137,1.1,2276,0.67121
camunda-bpm-platform,https://github.com/camunda/camunda-bpm-platform,Java,128,0,243,3,16.2,9,194,240,0.7,3693,0.67117
cats,https://github.com/typelevel/cats,Scala,72,0,427,8,9.3,13,120,147,1.4,247,0.67089
clouddriver,https://github.com/spinnaker/clouddriver,Groovy,107,0,303,5,16.3,34,260,274,1.1,182,0.67018
cdk,https://github.com/cdk/cdk,Java,246,0,152,7,2.2,3,18,24,2.2,17308,0.67009
quasar,https://github.com/precog/quasar,Scala,124,0,72,9,7.5,246,52,53,1.0,2643,0.67008
android-components,https://github.com/mozilla-mobile/android-components,Kotlin,46,0,172,2,47.5,138,804,1050,0.9,1633,0.66979
hibernate-search,https://github.com/hibernate/hibernate-search,Java,163,0,93,7,42.2,13,116,117,2.2,236,0.66965
storm,https://github.com/apache/storm,Java,113,0,494,9,2.7,4,24,37,0.6,4217,0.66853
karaf,https://github.com/apache/karaf,Java,159,0,186,9,4.8,7,85,92,0.5,3606,0.66831
kubernetes-client,https://github.com/fabric8io/kubernetes-client,Java,66,0,223,4,10.2,18,217,297,2.9,421,0.66797
pgjdbc,https://github.com/pgjdbc/pgjdbc,Java,284,1,233,7,3.4,6,62,205,2.5,1957,0.66781
fitnesse,https://github.com/unclebob/fitnesse,Java,192,0,193,9,2.1,5,10,16,3.5,2346,0.6665
AntennaPod,https://github.com/AntennaPod/AntennaPod,Java,110,0,191,2,15.6,8,361,574,3.1,818,0.66645
OpenRefine,https://github.com/OpenRefine/OpenRefine,Java,130,0,205,7,15.1,6,173,303,2.0,206,0.66625
gocd,https://github.com/gocd/gocd,Java,86,0,168,5,25.2,10,312,359,1.4,465,0.66524
druid,https://github.com/apache/druid,Java,99,0,454,4,13.9,6,400,596,1.3,304,0.66519
jgit,https://github.com/eclipse/jgit,Java,137,1,235,5,7.6,17,1,5,2.4,11598,0.66462
FrameworkBenchmarks,https://github.com/TechEmpower/FrameworkBenchmarks,Java,94,0,742,4,13.7,1,207,233,0.9,1478,0.66409
armeria,https://github.com/line/armeria,Java,62,0,131,5,12.0,22,139,209,3.1,434,0.66394
jackson-core,https://github.com/FasterXML/jackson-core,Java,110,0,81,4,4.1,12,18,27,2.7,17485,0.66379
druid,https://github.com/alibaba/druid,Java,117,0,194,5,3.8,7,112,268,1.0,3978,0.66376
realm-java,https://github.com/realm/realm-java,Java,106,0,124,6,5.9,23,203,311,1.4,675,0.66348
biojava,https://github.com/biojava/biojava,Java,137,0,94,10,3.0,1,16,25,1.8,22858,0.6628
rundeck,https://github.com/rundeck/rundeck,Groovy,125,0,192,5,29.4,14,237,378,0.9,246,0.66224
netbeans,https://github.com/apache/netbeans,Java,40,0,186,5,17.5,15,226,263,2.0,675,0.66212
detekt,https://github.com/detekt/detekt,Kotlin,51,0,157,5,12.7,31,227,275,2.3,390,0.66208
finagle,https://github.com/twitter/finagle,Scala,124,0,472,2,6.0,12,9,17,3.3,3004,0.66196
cordova-android,https://github.com/apache/cordova-android,Java,148,0,238,10,1.9,11,58,102,2.5,247,0.66125
